work_id,unlocated_english_paragraphs,reader_url,reason
pg-1891,2755,https://thefaithreceived.vercel.app/read?w=pg-1891,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2123,1363,https://thefaithreceived.vercel.app/read?w=pg-2123,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2201,979,https://thefaithreceived.vercel.app/read?w=pg-2201,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3773,959,https://thefaithreceived.vercel.app/read?w=pg-3773,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2175,957,https://thefaithreceived.vercel.app/read?w=pg-2175,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2853,843,https://thefaithreceived.vercel.app/read?w=pg-2853,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2651,748,https://thefaithreceived.vercel.app/read?w=pg-2651,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2547,701,https://thefaithreceived.vercel.app/read?w=pg-2547,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-480,699,https://thefaithreceived.vercel.app/read?w=pg-480,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-624,604,https://thefaithreceived.vercel.app/read?w=pg-624,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2139,603,https://thefaithreceived.vercel.app/read?w=pg-2139,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-292,599,https://thefaithreceived.vercel.app/read?w=pg-292,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2428,577,https://thefaithreceived.vercel.app/read?w=pg-2428,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-54,576,https://thefaithreceived.vercel.app/read?w=pg-54,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1844,567,https://thefaithreceived.vercel.app/read?w=pg-1844,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2133,544,https://thefaithreceived.vercel.app/read?w=pg-2133,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-1733,543,https://thefaithreceived.vercel.app/read?w=pg-1733,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-489,524,https://thefaithreceived.vercel.app/read?w=pg-489,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3663,519,https://thefaithreceived.vercel.app/read?w=pg-3663,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-3214,504,https://thefaithreceived.vercel.app/read?w=pg-3214,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-11,488,https://thefaithreceived.vercel.app/read?w=pg-11,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-198,488,https://thefaithreceived.vercel.app/read?w=pg-198,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2500,481,https://thefaithreceived.vercel.app/read?w=pg-2500,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2582,472,https://thefaithreceived.vercel.app/read?w=pg-2582,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2652,453,https://thefaithreceived.vercel.app/read?w=pg-2652,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-517,451,https://thefaithreceived.vercel.app/read?w=pg-517,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2503,445,https://thefaithreceived.vercel.app/read?w=pg-2503,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-445,419,https://thefaithreceived.vercel.app/read?w=pg-445,Existing source anchors do not establish a unique opening; preserve text and do not guess.
pg-2434,414,https://thefaithreceived.vercel.app/read?w=pg-2434,Existing source anchors do not establish a unique opening; preserve text and do not guess.
